subdir frame_num face_startX face_startY face_endX face_endY face_height face_width face_x_center face_y_center yaw pitch roll raw_yaw raw_pitch raw_roll predicted_label attention_label
HH0647-rgb_2017_2_5_21_0_0 210 957.0 714.0 1003.0 765.0 51.0 46.0 980.0 739.0 -6.0 -21.0 31.0 -6.0 -21.0 31.0 0 0
HH0647-rgb_2017_2_5_21_0_0 215 965.0 707.0 1011.0 757.0 50.0 46.0 988.0 732.0 -16.0 -5.0 23.0 -16.0 -5.0 23.0 0 0
HH0647-rgb_2017_2_5_21_0_0 220 1086.0 660.0 1142.0 717.0 57.0 56.0 1114.0 688.0 -5.0 -7.0 24.0 -5.0 -7.0 24.0 1 0
HH0647-rgb_2017_2_5_21_0_0 225 1093.0 656.0 1151.0 719.0 63.0 58.0 1122.0 687.0 -3.0 -18.0 10.0 -3.0 -18.0 10.0 2 1
HH0647-rgb_2017_2_5_21_0_0 230 1113.0 650.0 1169.0 710.0 60.0 56.0 1141.0 680.0 1.0 -5.0 9.0 1.0 -5.0 9.0 1 1
HH0647-rgb_2017_2_5_21_0_0 235 1123.0 652.0 1181.0 712.0 60.0 58.0 1152.0 682.0 -1.0 -7.0 18.0 -1.0 -7.0 18.0 1 1
HH0647-rgb_2017_2_5_21_0_0 240 1111.0 729.0 1172.0 792.0 63.0 61.0 1141.0 760.0 -4.0 -27.0 29.0 -4.0 -27.0 29.0 2 0
HH0647-rgb_2017_2_5_21_0_0 245 1191.0 762.0 1251.0 822.0 60.0 60.0 1221.0 792.0 -7.0 -6.0 15.0 -7.0 -6.0 15.0 1 0
HH0647-rgb_2017_2_5_21_0_0 250 1226.0 742.0 1286.0 805.0 63.0 60.0 1256.0 773.0 1.0 -7.0 19.0 1.0 -7.0 19.0 1 0
HH0647-rgb_2017_2_5_21_0_0 255 1224.0 746.0 1271.0 804.0 58.0 47.0 1247.0 775.0 -1.0 -5.0 47.0 -1.0 -5.0 47.0 0 0
HH0647-rgb_2017_2_5_21_0_0 260 1218.0 755.0 1257.0 809.0 54.0 39.0 1237.0 782.0 -8.0 -21.0 56.0 -8.0 -21.0 56.0 0 0
HH0647-rgb_2017_2_5_21_0_0 265 1224.0 761.0 1270.0 813.0 52.0 46.0 1247.0 787.0 -9.0 -13.0 28.0 -9.0 -13.0 28.0 0 0
HH0647-rgb_2017_2_5_21_0_0 270 1218.0 768.0 1272.0 823.0 55.0 54.0 1245.0 795.0 -17.0 -37.0 27.0 -17.0 -37.0 27.0 0 0
HH0647-rgb_2017_2_5_21_0_0 275 1220.0 768.0 1273.0 824.0 56.0 53.0 1246.0 796.0 -17.0 -33.0 32.0 -17.0 -33.0 32.0 0 0
HH0647-rgb_2017_2_5_21_0_0 280 1218.0 769.0 1271.0 824.0 55.0 53.0 1244.0 796.0 -17.0 -37.0 27.0 -17.0 -37.0 27.0 0 0
HH0647-rgb_2017_2_5_21_0_0 285 1217.0 768.0 1273.0 824.0 56.0 56.0 1245.0 796.0 -16.0 -36.0 26.0 -16.0 -36.0 26.0 0 0
HH0647-rgb_2017_2_5_21_0_0 290 1222.0 767.0 1274.0 823.0 56.0 52.0 1248.0 795.0 -15.0 -34.0 33.0 -15.0 -34.0 33.0 0 0
HH0647-rgb_2017_2_5_21_0_0 295 1222.0 762.0 1275.0 822.0 60.0 53.0 1248.0 792.0 -17.0 -34.0 36.0 -17.0 -34.0 36.0 0 0
HH0647-rgb_2017_2_5_21_0_0 300 1216.0 762.0 1269.0 820.0 58.0 53.0 1242.0 791.0 -16.0 -30.0 36.0 -16.0 -30.0 36.0 0 0
HH0647-rgb_2017_2_5_21_0_0 305 1226.0 749.0 1284.0 811.0 62.0 58.0 1255.0 780.0 0.0 -15.0 26.0 0.0 -15.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 310 1229.0 748.0 1287.0 808.0 60.0 58.0 1258.0 778.0 4.0 -7.0 26.0 4.0 -7.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 315 1219.0 745.0 1278.0 808.0 63.0 59.0 1248.0 776.0 5.0 -6.0 21.0 5.0 -6.0 21.0 1 1
HH0647-rgb_2017_2_5_21_0_0 320 1215.0 744.0 1273.0 808.0 64.0 58.0 1244.0 776.0 4.0 -7.0 22.0 4.0 -7.0 22.0 1 1
HH0647-rgb_2017_2_5_21_0_0 325 1228.0 746.0 1287.0 808.0 62.0 59.0 1257.0 777.0 8.0 -3.0 34.0 8.0 -3.0 34.0 1 1
HH0647-rgb_2017_2_5_21_0_0 330 1233.0 744.0 1287.0 808.0 64.0 54.0 1260.0 776.0 10.0 -4.0 29.0 10.0 -4.0 29.0 1 1
HH0647-rgb_2017_2_5_21_0_0 335 1233.0 741.0 1291.0 804.0 63.0 58.0 1262.0 772.0 8.0 -5.0 34.0 8.0 -5.0 34.0 1 1
HH0647-rgb_2017_2_5_21_0_0 340 1235.0 744.0 1291.0 807.0 63.0 56.0 1263.0 775.0 8.0 -5.0 29.0 8.0 -5.0 29.0 1 1
HH0647-rgb_2017_2_5_21_0_0 345 1230.0 746.0 1289.0 808.0 62.0 59.0 1259.0 777.0 7.0 -2.0 23.0 7.0 -2.0 23.0 1 1
HH0647-rgb_2017_2_5_21_0_0 350 1233.0 743.0 1289.0 807.0 64.0 56.0 1261.0 775.0 9.0 -3.0 26.0 9.0 -3.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 355 1215.0 746.0 1255.0 809.0 63.0 40.0 1235.0 777.0 -5.0 -12.0 45.0 -5.0 -12.0 45.0 0 1
HH0647-rgb_2017_2_5_21_0_0 360 1216.0 748.0 1260.0 810.0 62.0 44.0 1238.0 779.0 -11.0 -21.0 62.0 -11.0 -21.0 62.0 0 1
HH0647-rgb_2017_2_5_21_0_0 365 1219.0 749.0 1257.0 804.0 55.0 38.0 1238.0 776.0 -6.0 -15.0 54.0 -6.0 -15.0 54.0 0 1
HH0647-rgb_2017_2_5_21_0_0 370 1216.0 748.0 1258.0 808.0 60.0 42.0 1237.0 778.0 -6.0 -15.0 62.0 -6.0 -15.0 62.0 0 1
HH0647-rgb_2017_2_5_21_0_0 375 1226.0 748.0 1280.0 806.0 58.0 54.0 1253.0 777.0 -3.0 -15.0 32.0 -3.0 -15.0 32.0 0 1
HH0647-rgb_2017_2_5_21_0_0 380 1228.0 754.0 1286.0 814.0 60.0 58.0 1257.0 784.0 -5.0 -23.0 29.0 -5.0 -23.0 29.0 0 1
HH0647-rgb_2017_2_5_21_0_0 385 1227.0 762.0 1278.0 820.0 58.0 51.0 1252.0 791.0 -10.0 -39.0 36.0 -10.0 -39.0 36.0 0 1
HH0647-rgb_2017_2_5_21_0_0 390 1219.0 753.0 1259.0 808.0 55.0 40.0 1239.0 780.0 1.0 -13.0 55.0 1.0 -13.0 55.0 0 1
HH0647-rgb_2017_2_5_21_0_0 395 1221.0 737.0 1266.0 799.0 62.0 45.0 1243.0 768.0 -2.0 -27.0 29.0 -2.0 -27.0 29.0 0 1
HH0647-rgb_2017_2_5_21_0_0 400 1233.0 737.0 1272.0 790.0 53.0 39.0 1252.0 763.0 2.0 -17.0 8.0 2.0 -17.0 8.0 0 1
HH0647-rgb_2017_2_5_21_0_0 405 1227.0 744.0 1271.0 798.0 54.0 44.0 1249.0 771.0 -2.0 -20.0 17.0 -2.0 -20.0 17.0 0 1
HH0647-rgb_2017_2_5_21_0_0 410 1236.0 734.0 1275.0 787.0 53.0 39.0 1255.0 760.0 7.0 -5.0 -7.0 7.0 -5.0 -7.0 0 1
HH0647-rgb_2017_2_5_21_0_0 415 1230.0 744.0 1267.0 798.0 54.0 37.0 1248.0 771.0 -2.0 -18.0 21.0 -2.0 -18.0 21.0 0 1
HH0647-rgb_2017_2_5_21_0_0 420 1225.0 745.0 1264.0 800.0 55.0 39.0 1244.0 772.0 3.0 -11.0 59.0 3.0 -11.0 59.0 0 1
HH0647-rgb_2017_2_5_21_0_0 425 1236.0 745.0 1290.0 809.0 64.0 54.0 1263.0 777.0 4.0 -7.0 30.0 4.0 -7.0 30.0 1 1
HH0647-rgb_2017_2_5_21_0_0 430 1239.0 744.0 1295.0 808.0 64.0 56.0 1267.0 776.0 8.0 -3.0 24.0 8.0 -3.0 24.0 1 1
HH0647-rgb_2017_2_5_21_0_0 435 1238.0 741.0 1294.0 804.0 63.0 56.0 1266.0 772.0 10.0 -4.0 25.0 10.0 -4.0 25.0 1 1
HH0647-rgb_2017_2_5_21_0_0 440 1234.0 742.0 1292.0 807.0 65.0 58.0 1263.0 774.0 10.0 -3.0 26.0 10.0 -3.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 445 1224.0 741.0 1282.0 805.0 64.0 58.0 1253.0 773.0 9.0 0.0 26.0 9.0 0.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 450 1220.0 747.0 1262.0 803.0 56.0 42.0 1241.0 775.0 -6.0 -9.0 56.0 -6.0 -9.0 56.0 0 1
HH0647-rgb_2017_2_5_21_0_0 455 1217.0 756.0 1256.0 811.0 55.0 39.0 1236.0 783.0 -18.0 -17.0 58.0 -18.0 -17.0 58.0 0 1
HH0647-rgb_2017_2_5_21_0_0 460 1220.0 751.0 1265.0 811.0 60.0 45.0 1242.0 781.0 -16.0 -25.0 56.0 -16.0 -25.0 56.0 0 1
HH0647-rgb_2017_2_5_21_0_0 465 1222.0 745.0 1266.0 805.0 60.0 44.0 1244.0 775.0 -9.0 -7.0 49.0 -9.0 -7.0 49.0 0 1
HH0647-rgb_2017_2_5_21_0_0 470 1228.0 745.0 1277.0 801.0 56.0 49.0 1252.0 773.0 -7.0 -9.0 47.0 -7.0 -9.0 47.0 0 1
HH0647-rgb_2017_2_5_21_0_0 475 1231.0 745.0 1282.0 805.0 60.0 51.0 1256.0 775.0 -2.0 -9.0 44.0 -2.0 -9.0 44.0 0 1
HH0647-rgb_2017_2_5_21_0_0 480 1232.0 742.0 1288.0 802.0 60.0 56.0 1260.0 772.0 2.0 -6.0 41.0 2.0 -6.0 41.0 1 1
HH0647-rgb_2017_2_5_21_0_0 485 1239.0 744.0 1292.0 802.0 58.0 53.0 1265.0 773.0 7.0 -8.0 43.0 7.0 -8.0 43.0 1 1
HH0647-rgb_2017_2_5_21_0_0 490 1238.0 743.0 1294.0 806.0 63.0 56.0 1266.0 774.0 8.0 -3.0 41.0 8.0 -3.0 41.0 1 1
HH0647-rgb_2017_2_5_21_0_0 495 1235.0 744.0 1293.0 804.0 60.0 58.0 1264.0 774.0 7.0 -5.0 42.0 7.0 -5.0 42.0 1 1
HH0647-rgb_2017_2_5_21_0_0 500 1237.0 741.0 1295.0 803.0 62.0 58.0 1266.0 772.0 11.0 -3.0 31.0 11.0 -3.0 31.0 1 1
HH0647-rgb_2017_2_5_21_0_0 505 1231.0 746.0 1290.0 806.0 60.0 59.0 1260.0 776.0 7.0 -4.0 27.0 7.0 -4.0 27.0 1 1
HH0647-rgb_2017_2_5_21_0_0 510 1220.0 745.0 1276.0 810.0 65.0 56.0 1248.0 777.0 2.0 -5.0 25.0 2.0 -5.0 25.0 1 1
HH0647-rgb_2017_2_5_21_0_0 515 1218.0 747.0 1274.0 809.0 62.0 56.0 1246.0 778.0 3.0 -5.0 27.0 3.0 -5.0 27.0 1 1
HH0647-rgb_2017_2_5_21_0_0 520 1219.0 748.0 1277.0 810.0 62.0 58.0 1248.0 779.0 3.0 -8.0 28.0 3.0 -8.0 28.0 1 1
HH0647-rgb_2017_2_5_21_0_0 525 1221.0 747.0 1277.0 809.0 62.0 56.0 1249.0 778.0 3.0 -5.0 29.0 3.0 -5.0 29.0 1 1
HH0647-rgb_2017_2_5_21_0_0 530 1221.0 747.0 1277.0 810.0 63.0 56.0 1249.0 778.0 4.0 -8.0 31.0 4.0 -8.0 31.0 1 1
HH0647-rgb_2017_2_5_21_0_0 535 1222.0 747.0 1278.0 812.0 65.0 56.0 1250.0 779.0 2.0 -6.0 31.0 2.0 -6.0 31.0 2 1
HH0647-rgb_2017_2_5_21_0_0 540 1219.0 748.0 1275.0 808.0 60.0 56.0 1247.0 778.0 2.0 -3.0 24.0 2.0 -3.0 24.0 1 1
HH0647-rgb_2017_2_5_21_0_0 545 1222.0 749.0 1276.0 813.0 64.0 54.0 1249.0 781.0 2.0 -6.0 30.0 2.0 -6.0 30.0 1 1
HH0647-rgb_2017_2_5_21_0_0 550 1219.0 748.0 1277.0 810.0 62.0 58.0 1248.0 779.0 3.0 -6.0 26.0 3.0 -6.0 26.0 1 1
HH0647-rgb_2017_2_5_21_0_0 555 1224.0 749.0 1280.0 812.0 63.0 56.0 1252.0 780.0 -1.0 -10.0 26.0 -1.0 -10.0 26.0 2 1
HH0647-rgb_2017_2_5_21_0_0 560 1221.0 752.0 1280.0 816.0 64.0 59.0 1250.0 784.0 -3.0 -21.0 25.0 -3.0 -21.0 25.0 1 1
HH0647-rgb_2017_2_5_21_0_0 565 1218.0 753.0 1276.0 811.0 58.0 58.0 1247.0 782.0 -5.0 -18.0 29.0 -5.0 -18.0 29.0 0 1
HH0647-rgb_2017_2_5_21_0_0 570 1210.0 751.0 1254.0 811.0 60.0 44.0 1232.0 781.0 -10.0 -13.0 52.0 -10.0 -13.0 52.0 0 1
HH0647-rgb_2017_2_5_21_0_0 575 1208.0 751.0 1248.0 814.0 63.0 40.0 1228.0 782.0 1.0 -9.0 46.0 1.0 -9.0 46.0 0 1
HH0647-rgb_2017_2_5_21_0_0 580 1178.0 758.0 1216.0 811.0 53.0 38.0 1197.0 784.0 1.0 -1.0 4.0 1.0 -1.0 4.0 0 1
HH0647-rgb_2017_2_5_21_0_0 585 1132.0 777.0 1176.0 828.0 51.0 44.0 1154.0 802.0 -7.0 -10.0 36.0 -7.0 -10.0 36.0 0 1
HH0647-rgb_2017_2_5_21_0_0 590 1142.0 762.0 1182.0 813.0 51.0 40.0 1162.0 787.0 -1.0 -5.0 8.0 -1.0 -5.0 8.0 1 1
HH0647-rgb_2017_2_5_21_0_0 595 1202.0 751.0 1248.0 809.0 58.0 46.0 1225.0 780.0 -6.0 -11.0 64.0 -6.0 -11.0 64.0 0 1
HH0647-rgb_2017_2_5_21_0_0 600 1224.0 758.0 1276.0 818.0 60.0 52.0 1250.0 788.0 -7.0 -24.0 46.0 -7.0 -24.0 46.0 0 1
HH0647-rgb_2017_2_5_21_0_0 605 1218.0 763.0 1270.0 819.0 56.0 52.0 1244.0 791.0 -11.0 -32.0 45.0 -11.0 -32.0 45.0 0 1
HH0647-rgb_2017_2_5_21_0_0 610 1217.0 769.0 1270.0 825.0 56.0 53.0 1243.0 797.0 -7.0 -33.0 43.0 -7.0 -33.0 43.0 0 1
HH0647-rgb_2017_2_5_21_0_0 615 1222.0 774.0 1271.0 826.0 52.0 49.0 1246.0 800.0 -9.0 -24.0 54.0 -9.0 -24.0 54.0 0 1
HH0647-rgb_2017_2_5_21_0_0 620 1216.0 776.0 1267.0 826.0 50.0 51.0 1241.0 801.0 -15.0 -34.0 46.0 -15.0 -34.0 46.0 0 1
HH0647-rgb_2017_2_5_21_0_0 625 1218.0 772.0 1272.0 826.0 54.0 54.0 1245.0 799.0 -9.0 -33.0 44.0 -9.0 -33.0 44.0 0 1
HH0647-rgb_2017_2_5_21_0_0 630 1218.0 761.0 1272.0 819.0 58.0 54.0 1245.0 790.0 -8.0 -27.0 28.0 -8.0 -27.0 28.0 0 1
HH0647-rgb_2017_2_5_21_0_0 635 1220.0 755.0 1276.0 818.0 63.0 56.0 1248.0 786.0 -12.0 -26.0 32.0 -12.0 -26.0 32.0 0 1
HH0647-rgb_2017_2_5_21_0_0 640 1215.0 757.0 1264.0 815.0 58.0 49.0 1239.0 786.0 -12.0 -23.0 34.0 -12.0 -23.0 34.0 0 1
HH0647-rgb_2017_2_5_21_0_0 645 1207.0 756.0 1253.0 819.0 63.0 46.0 1230.0 787.0 -21.0 -20.0 48.0 -21.0 -20.0 48.0 0 1
HH0647-rgb_2017_2_5_21_0_0 650 1211.0 761.0 1256.0 812.0 51.0 45.0 1233.0 786.0 -11.0 -19.0 49.0 -11.0 -19.0 49.0 0 1
HH0647-rgb_2017_2_5_21_0_0 655 1214.0 765.0 1256.0 819.0 54.0 42.0 1235.0 792.0 -11.0 -19.0 47.0 -11.0 -19.0 47.0 0 1
HH0647-rgb_2017_2_5_21_0_0 660 1206.0 766.0 1248.0 820.0 54.0 42.0 1227.0 793.0 -5.0 -10.0 32.0 -5.0 -10.0 32.0 0 1
HH0647-rgb_2017_2_5_21_0_0 665 1207.0 767.0 1252.0 819.0 52.0 45.0 1229.0 793.0 -11.0 -16.0 41.0 -11.0 -16.0 41.0 0 1
HH0647-rgb_2017_2_5_21_0_0 670 1208.0 769.0 1253.0 824.0 55.0 45.0 1230.0 796.0 -13.0 -17.0 52.0 -13.0 -17.0 52.0 0 1
HH0647-rgb_2017_2_5_21_0_0 675 1208.0 769.0 1254.0 829.0 60.0 46.0 1231.0 799.0 -14.0 -28.0 54.0 -14.0 -28.0 54.0 0 1
HH0647-rgb_2017_2_5_21_0_0 680 1204.0 772.0 1248.0 824.0 52.0 44.0 1226.0 798.0 -13.0 -22.0 48.0 -13.0 -22.0 48.0 0 1
HH0647-rgb_2017_2_5_21_0_0 685 1208.0 768.0 1254.0 830.0 62.0 46.0 1231.0 799.0 -12.0 -21.0 58.0 -12.0 -21.0 58.0 0 1
HH0647-rgb_2017_2_5_21_0_0 690 1208.0 769.0 1255.0 827.0 58.0 47.0 1231.0 798.0 -15.0 -23.0 71.0 -15.0 -23.0 71.0 0 1
HH0647-rgb_2017_2_5_21_0_0 695 1208.0 768.0 1255.0 826.0 58.0 47.0 1231.0 797.0 -7.0 -16.0 30.0 -7.0 -16.0 30.0 0 1
HH0647-rgb_2017_2_5_21_0_0 700 1208.0 768.0 1253.0 822.0 54.0 45.0 1230.0 795.0 -6.0 -12.0 39.0 -6.0 -12.0 39.0 0 1
HH0647-rgb_2017_2_5_21_0_0 705 1209.0 767.0 1253.0 821.0 54.0 44.0 1231.0 794.0 -8.0 -18.0 52.0 -8.0 -18.0 52.0 0 1
HH0647-rgb_2017_2_5_21_0_0 710 1209.0 768.0 1253.0 821.0 53.0 44.0 1231.0 794.0 -13.0 -20.0 55.0 -13.0 -20.0 55.0 0 1
HH0647-rgb_2017_2_5_21_0_0 715 1207.0 771.0 1253.0 824.0 53.0 46.0 1230.0 797.0 -11.0 -26.0 48.0 -11.0 -26.0 48.0 0 1
HH0647-rgb_2017_2_5_21_0_0 720 1208.0 770.0 1255.0 828.0 58.0 47.0 1231.0 799.0 -15.0 -24.0 63.0 -15.0 -24.0 63.0 0 1
HH0647-rgb_2017_2_5_21_0_0 725 1206.0 770.0 1250.0 821.0 51.0 44.0 1228.0 795.0 -7.0 -19.0 44.0 -7.0 -19.0 44.0 0 1
HH0647-rgb_2017_2_5_21_0_0 730 1208.0 773.0 1252.0 827.0 54.0 44.0 1230.0 800.0 -12.0 -23.0 56.0 -12.0 -23.0 56.0 0 1
HH0647-rgb_2017_2_5_21_0_0 735 1209.0 767.0 1253.0 822.0 55.0 44.0 1231.0 794.0 -4.0 -20.0 54.0 -4.0 -20.0 54.0 0 1
HH0647-rgb_2017_2_5_21_0_0 740 1203.0 758.0 1249.0 816.0 58.0 46.0 1226.0 787.0 -17.0 -22.0 44.0 -17.0 -22.0 44.0 0 1
